Pertanyaan;Coarse;Fine
Apa bagian tertinggi di papan catur;ENTY;entyother
Apa bentuk jembatan yang paling populer;ENTY;entyother
Apa bentuk sepakbola seperti yang dinyatakan dalam buku NFL;ENTY;entyother
Apa contoh indikator asam-basa alami;ENTY;entyother
Apa ekspor komoditas utama Grenada;ENTY;entyother
Apa empat bentuk emas yang ada;ENTY;entyother
Apa fasilitas rumah tangga berisi bola apung;ENTY;entyother
Apa format kompetisi utama VHS;ENTY;entyother
Apa format kompetisi utama dari VHS;ENTY;entyother
Apa hal terbesar yang dibuat manusia;ENTY;entyother
Apa hal terkecil yang terlihat di bawah mikroskop terkuat;ENTY;entyother
Apa hubungan antara New Krypton dan Daxam;ENTY;entyother
Apa itu batu kelahiran November;ENTY;entyother
Apa itu batu permata April;ENTY;entyother
Apa itu yang berjalan dengan empat kaki;ENTY;entyother
Apa jenis jembatan Golden Gate Bridge;ENTY;entyother
Apa jenis polusi air yang ada;ENTY;entyother
Apa kursi yang terikat takut basophilic;ENTY;entyother
Apa maskot untuk Notre Dame University;ENTY;entyother
Apa itu koin langka;ENTY;entyother
Apa nama lapangan golf di Pantai Myrtle;ENTY;entyother
Apa nama keseluruhan untuk Dungri;ENTY;entyother
apa nama lapangan manchester united;ENTY;entyother
Apa prestasi Richard Nixon;ENTY;entyother
Apa saja jenis-jenis plastik;ENTY;entyother
Apa saja tahapan perkembangan perenang;ENTY;entyother
Apa saja uang kertas berbulu di perdagangan bulu;ENTY;entyother
Apa suara bernada tinggi yang Anda dengar di telinga setiap saat;ENTY;entyother
Apa sumber daya Nebraska yang paling berharga;ENTY;entyother
Apa yang bisa dilihat di Reims;ENTY;entyother
Apa yang bisa ditawarkan satelit komunikasi kepada kapal pesiar;ENTY;entyother
Apa yang diinginkan oleh seorang dipsomaniac;ENTY;entyother
Apa yang dipasang dokter hewan di sepatu mereka;ENTY;entyother
Apa yang dikenakan Warlock di dahinya dalam komik Marvel;ENTY;entyother
Apa yang dikoleksi oleh ahli deltiologi;ENTY;entyother
Apa yang dimainkan Benny Carter;ENTY;entyother
Apa yang dimainkan The Gas House Gang;ENTY;entyother
Apa yang disimpan unta di punuknya;ENTY;entyother
Jenis kelamin apa yang ditolak hak pilihnya di Kuwait;ENTY;entyother
Apa yang terjadi setelah kematian;ENTY;entyother
Apa pohon negara Nebraska;ENTY;plant
Apa saja bunga berwarna-warni yang mekar di musim gugur;ENTY;plant
Apa saja flora asli Australia;ENTY;plant
Apa tanaman yang memiliki benih terbesar;ENTY;plant
Apa tanaman umum yang memiliki tombol;ENTY;plant
Apa tanaman yang paling banyak dibudidayakan;ENTY;plant
Bunga apa yang dilukis Vincent Van Gogh;ENTY;plant
bunga apa yang harum baunya;ENTY;plant
bunga apa yang sering dipakai untuk hiasan hadiah;ENTY;plant
tanaman apa yang ditemukan dimuara;ENTY;plant
tanaman apa yang mudah untuk dibudidayakan;ENTY;plant
Jenis bunga apa yang dibesarkan oleh detektif Nero Wolfe;ENTY;plant
Jenis pohon apa yang menghiasi bendera Libanon;ENTY;plant
apa nama merek komputer yang paling pertama diproduksi;ENTY;product
apa nama merek kendaraan motor yang berasal dari jepang;ENTY;product
apa nama merek pizza yang terkenal;ENTY;product
apa nama merek mobil termahal di dunia;ENTY;product
apa merek yang memproduksi produk olahraga;ENTY;product
apa merek yang memproduksi kendaraan;ENTY;product
apa merek yang memproduksi perangkat lunak;ENTY;product
apa handphone termahal didunia;ENTY;product
apa mobil tercepat di dunia;ENTY;product
apa laptop termahal saat ini;ENTY;product
apa merk handphone produksi cina;ENTY;product
apa processor tercepat saat ini;ENTY;product
merk baju pria apa yang paling laku di jerman;ENTY;product
sabun apa yang dapat membunuh paling banyak bakteri;ENTY;product
produk apa yang paling banyak dibeli ibu rumah tangga;ENTY;product
produk apa yang diproduksi oleh perusahaan apple;ENTY;product
produk apa yang diproduksi microsoft;ENTY;product
produk apa yang dibuat oleh adidas;ENTY;product
produk minuman apa yang paling laris di dunia;ENTY;product
produk makanan apa yang sangat terkenal di seluruh dunia;ENTY;product
apa produk elektronik yang paling banyak dibeli;ENTY;product
apa produk kecantikan yang diprioritaskan wanita;ENTY;product
apa agama yang dibawakan oleh nabi Muhammad SAW;ENTY;religion
agama apa yang mewajibkan berpuasa di bulan ramadhan;ENTY;religion
agama apa yang memiliki populasi terbanyak didunia ini;ENTY;religion
agama apa yang mengalami pertumbuhan yang paling cepat;ENTY;religion
apa dua agama yang memmiliki penganut terbanyak di dunia;ENTY;religion
olahraga apa yang melibatkan 22 pemain;ENTY;sport
apa olahraga yang digeluti valentino rossi;ENTY;sport
bambang pamungkas terkenal di bidang olahraga apa;ENTY;sport
olahraga apa yang diadakan di dalam air;ENTY;sport
olahraga apa yang mengangkat beban yang berat ;ENTY;sport
olahraga apa yang terkenal di inggris;ENTY;sport
olahraga apa yang dimainka robin van persie;ENTY;sport
olahraga apa yang memiliki jumlah peserta terbanyak;ENTY;sport
olahraga apa yang disiarkan di tvri;ENTY;sport
olahraga apa yang menggunakan papan berwarna hitam dan putih;ENTY;sport
jenis olahraga apa yang dimainkan pada abad 18;ENTY;sport
jenis olahraga apa yang berlomba di atas air;ENTY;sport
jenis olahraga apa yang paling banyak membakar kalori;ENTY;sport
jenis olahraga apa yang menggunakan kekuatan otot tangan;ENTY;sport
permainan apa yang menggunakan papan lipat;ENTY;sport
pertandingan apa yang mempertemukan dua kesebelasan;ENTY;sport
pertandingan apa yang ditonton puluhan ribu penonton;ENTY;sport
apa yang dipertandingkan di stadion wembley;ENTY;sport
permainan kartu apa yang dapat dimainkan empat orang;ENTY;sport
permainan papan apa yang membutuhkan perancangan startegi;ENTY;sport
permainan bola apa yang meggunakan tangan;ENTY;sport
permainan bola apa yang menggunakan kekuatan kaki;ENTY;sport
jenis olahraga apa yang paling digemari oleh laki laki;ENTY;sport
jenis olahraga apa yang aman untuk anak anak;ENTY;sport
apa bahan utama agar agar;ENTY;substance
apa bahan utama yogurt itu;ENTY;substance
apa bahan utama minuman coca cola;ENTY;substance
Terbuat dari apa kuku jari;ENTY;substance
Terbuat dari apa softball;ENTY;substance
Terbuat dari apa Taj Majal;ENTY;substance
Terbuat dari apa uang itu;ENTY;substance
Terbuat dari apakah bintang-bintang itu;ENTY;substance
Terbuat dari apakah bola super itu;ENTY;substance
Terbuat dari apakah Jell-O;ENTY;substance
Terbuat dari apakah kertas pada akhir abad ke-16;ENTY;substance
Terbuat apakah kaca itu;ENTY;substance
Terdiri dari apa air liur;ENTY;substance
Molekul apa yang termasuk fluor;ENTY;substance
Apa zat yang memberi rasa pada makanan saat dimakan;ENTY;substance
Apa senyawa paling umum di dunia;ENTY;substance
Apa substansi kedua yang paling sulit;ENTY;substance
Apa substansi tersulit dalam tubuh manusia;ENTY;substance
Apa unsur paling melimpah di matahari;ENTY;substance
apa bahan bakar yang digunakan motor;ENTY;substance
Bahan bakar apa yang digunakan pesawat terbang;ENTY;substance
Bahan bakar apa yang digunakan penghuni rawa untuk memotong;ENTY;substance
apa bahan bakar yang dipakai mesin sepeda motor;ENTY;substance
Apa elemen paling umum di air laut;ENTY;substance
Apa elemen paling umum yang ada di kerak bumi;ENTY;substance
apa bahan kimia yang berbahaya bagi kulit;ENTY;substance
apa bahan kimia yang mudah meledak;ENTY;substance
bahan kimia apa yang dipakai pada cat besi;ENTY;substance
bahan kimia apa yang tidak boleh disentuh;ENTY;substance
apa nama bahan kimia yang dapat mengurai besi;ENTY;substance
apa simbol untuk tanda dilarang masuk;ENTY;symbol
Apa simbol celtic untuk hidup;ENTY;symbol
Apa simbol kimia untuk nitrogen;ENTY;symbol
Apa simbol kimi besi;ENTY;symbol
apa simbok kemia emas;ENTY;symbol
apa simbol kirim dari perak;ENTY;symbol
apa simbol untuk tanda dilarang parkir;ENTY;symbol
simbol apa yang dipakai untuk perintah dilarang masuk;ENTY;symbol
simbol apa yang digunakan saat pasukan dalam perang menyerah;ENTY;symbol
apa rumus fisika untuk menghitung nilai kelembaban;ENTY;symbol
apa rumus untuk menghitung kekuatan sinyal;ENTY;symbol
apa rumus yang digunakan untuk menghitung kekuatan kata dalam kalimat;ENTY;symbol
apa tanda yang dipakai untuk perintah dilarang berhenti;ENTY;symbol
apa tanda yang dipakai untuk dilarang parkir;ENTY;symbol
apa tanda yang digunakan untuk dilarang berhenti;ENTY;symbol
Apa cara yang benar untuk memasang gulungan kertas toilet;ENTY;technique
Apa cara mudah untuk menghitung perkiraan jumlah ikan di danau;ENTY;technique
Apa cara yang paling efisien untuk memasak barbeque;ENTY;technique
Apa cara terbaik untuk bepergian di Jepang;ENTY;technique
Apa cara terbaik untuk mengatasi rasa takut;ENTY;technique
Apa cara terbaik untuk menghapus wallpaper;ENTY;technique
Apa cara terbaik untuk menghilangkan lemak di bawah dagu anda;ENTY;technique
Apa cara terbaik untuk meningkatkan moral karyawan;ENTY;technique
Apa cara tercepat dan termudah untuk menghilang kancat kuku;ENTY;technique
bagaimana teknik menghasilkan uang dari youtube;ENTY;technique
bagaimana teknik menghasilkan uang di internet;ENTY;technique
bagaimana teknik menyeterika pakaian yang cepat;ENTY;technique
bagaimana teknik membedakan buah yang manis dan tidak;ENTY;technique
bagaimana teknik mengecat rumah yang baik;ENTY;technique
bagaimana teknik belajar naik mobil;ENTY;technique
apa teknik mengendarai motor yang baik;ENTY;technique
apa teknik mencari sumber air;ENTY;technique
apa manuver Muhammad Ali yang membuat George menjadi korban pertama;ENTY;technique
bagaimana teknik dribling yang benar;ENTY;technique
Apa istilah geografis untuk pinggiran benua;ENTY;term
Apa istilah menghina yang diterapkan pelukis Monet;ENTY;term
Apa istilah sastra untuk permainan kata-kata;ENTY;term
Apa istilah untuk deposit batu kapur yang naik dari lantai gua;ENTY;term
Apa istilah untuk figur empat sisi;ENTY;term
Apa istilah untuk jumlah semua materi genetik dalam organisme tertentu;ENTY;term
Apa istilah untuk organisme yang hidup atau yang lain;ENTY;term
Apa istilah untuk perilaku;ENTY;term
Apa istilah untuk rubah muda;ENTY;term
Apa istilah untuk sekelompok angsa;ENTY;term
Apa istilah untuk seseorang yang membenci umat manusia;ENTY;term
Apa istilah untuk sisi gunung yang menghadapi angin;ENTY;term
Apa istilah untuk taruhan sebelum kartu dibagikan;ENTY;term
dikenal sebegai apa huruf huruf dalam al quran;ENTY;term
Apa istilah yang menggambarkan kebahagiaan seseorang;ENTY;term
Apa nama lain untuk aspartame;ENTY;term
Apa nama lain untuk Jerman Barat;ENTY;term
Apa nama lain untuk rabun jauh;ENTY;term
Mississippi dijuluki apa;ENTY;term
Apa nama lama Zimbabwe;ENTY;term
Apa nama mitra Islam Palang Merah;ENTY;term
Apa nama mitra wanita untuk El Nino;ENTY;term
Apa nama panggilan orang-orang Indian Cleveland;ENTY;term
Apa nama pemain Craps;ENTY;term
Apa nama seni menanam pohon miniatur;ENTY;term
Apa nama umum pohon kurcaci Jepang;ENTY;term
Apa nama umum untuk asam asetilsalisilat;ENTY;term
Apa nama untuk awan yang menghasilkan hujan;ENTY;term
Apa nama yang diberikan kepada mitra Islam Palang Merah;ENTY;term
Apa persamaan Islam dari Palang Merah;ENTY;term
Apa yang orang Italia sebut Florence;ENTY;term
Apa yang orang Jepang sebut Japan;ENTY;term
Apa yang orang Prancis sebut La Manche;ENTY;term
Disebut apakah kotoran dinosaurus;ENTY;term
sepeda motor apa yang banyak digunakan di thailand;ENTY;vehicle
sepeda motor apa yang penjualannya paling laris;ENTY;vehicle
apa sepeda motor yang pertama memakai sistem abs;ENTY;vehicle
apa sepeda motor termahal di indonesia;ENTY;vehicle
apa sepeda motor yang pertama di india;ENTY;vehicle
apa nama sepeda motor yang paling murah;ENTY;vehicle
apa nama kapal yang tenggelam di samudera hindia;ENTY;vehicle
apa nama kapal yang paling besar di dunia;ENTY;vehicle
kapan apa yang lajunya paling cepat;ENTY;vehicle
kapal apa yang digunakan nabi nuh;ENTY;vehicle
apa nama kapal nabi nuh;ENTY;vehicle
kendaraan apa yang paling banyak di sini;ENTY;vehicle
kendaraan apa yang banyak dibeli warga brasil;ENTY;vehicle
kendaraan apa yang paling cepat di dunia;ENTY;vehicle
mobil apa yang produknya paling laris;ENTY;vehicle
mobil apa yang modelnya sangat terbatas;ENTY;vehicle
mobil apa yang digunakan presiden;ENTY;vehicle
apa mobil pertama yang di jual di eropa;ENTY;vehicle
apa mobil pertama yang diproduksi;ENTY;vehicle
apa nama pesawat yang kapasitasnya lebih dari 200 orang;ENTY;vehicle
pesawat apa yang melayani rute singapura bali;ENTY;vehicle
Apa nama pesawat luar angkasa kedua;ENTY;vehicle
Apa nama kapal induk Angkatan Laut AS;ENTY;vehicle
Apa kapal laut yang terbakar di pelabuhan Hong Kong;ENTY;vehicle
Apa nama pesawat luar angkasa kedua;ENTY;vehicle
Jenis kapal selam apa yang dibeli oleh Korea Selatan;ENTY;vehicle
Pesawat mana yang dibajak Fawaz Younis;ENTY;vehicle
Apa nama kapal pesiar Aristoteles Onassis;ENTY;vehicle
apa kata terpanjang dalam bahasa indonesia;ENTY;word
apa kata terpendek dalam bahasa indonesia;ENTY;word
apa kata terpanjang pada bahasa inggris;ENTY;word
apa kata terpendek pada bahasa rusia;ENTY;word
apa kata lain dari pintar;ENTY;word
apa kata lain dari cerdas;ENTY;word
apa kata lain dari meminang;ENTY;word
apa kata lain dari menyayangi;ENTY;word
apa kata lain dari mengunyah;ENTY;word
apa antonim dari cerdas;ENTY;word
apa antonim dari pulang;ENTY;word
apa antonim dari masuk;ENTY;word
apa antonim dari panjang;ENTY;word
apa antonim pendek;ENTY;word
apa antonim dekat;ENTY;word
apa antonim jauh;ENTY;word
apa sinonim dari pintar;ENTY;word
apa sinonim dari gagah;ENTY;word
apa sinonim dari dermawan;ENTY;word
apa sinonim kata bisa;ENTY;word
apa sinonim mampu;ENTY;word
kata apa yang banyak mengandung huruf a;ENTY;word
kata apa yang banyak mengandung huruf n;ENTY;word
kata apa yang paling banyak digunakan;ENTY;word
Siapakah John Macarthur;HUM;humdescription
Siapakah Johnny Carson;HUM;humdescription
Siapakah Langston Hughes;HUM;humdescription
Siapakah Maria Theresa;HUM;humdescription
Siapakah Nicolo Paganini;HUM;humdescription
Siapakah Pangeran Naseem Hamed;HUM;humdescription
Siapakah Peter Weir;HUM;humdescription
Siapakah Quetzalcoatl;HUM;humdescription
Siapakah Red Grange;HUM;humdescription
Siapakah Robin Williams;HUM;humdescription
Siapakah Samuel F. Pickering;HUM;humdescription
Siapakah Samuel Pickering;HUM;humdescription
Siapakah Santos-Dumont;HUM;humdescription
Siapakah Shirley MacLaine;HUM;humdescription
Siapakah Stein Eriksen;HUM;humdescription
Siapakah Stephen Hawking;HUM;humdescription
Siapakah Thucydides;HUM;humdescription
Siapakah Whitcomb Judson?;HUM;humdescription
Siapakah William Henry Harrison;HUM;humdescription
Siapakah William Wordsworth;HUM;humdescription
Siapakah Zebulon Pike;HUM;humdescription
Siapa itu Coronado;HUM;humdescription
Siapa itu Darius;HUM;humdescription
Siapa itu Desmond Tutu;HUM;humdescription
Siapa itu Ezra Taft Benson;HUM;humdescription
Siapa Ismael di Moby Dick;HUM;humdescription
Siapa itu Damocles;HUM;humdescription
Siapa itu Konfusius;HUM;humdescription
Siapa itu Monet;HUM;humdescription
Siapa itu Lacan;HUM;humdescription
Siapa itu Picasso;HUM;humdescription
Siapa itu Terrence Malick;HUM;humdescription
Siapakah Barbara Jordan;HUM;humdescription
Siapakah Buffalo Bill;HUM;humdescription
Siapakah Charles Lindbergh;HUM;humdescription
Siapakah Colin Powell;HUM;humdescription
Siapakah Count Cinzano;HUM;humdescription
Siapakah Edmund Kemper;HUM;humdescription
Siapakah Henry Butler;HUM;humdescription
Siapa itu bambang;HUM;humdescription
Organisasi apa yang didirikan oleh juan mata;HUM;group
Organisasi apa yang memiliki Dewan Keamanan;HUM;group
Organisasi apa yang menjadi bagian dari Dewan Keamanan;HUM;group
Organisasi internasional apa yang didirikan oleh Clara Barton;HUM;group
Organisasi mana yang merupakan bagian dari Dewan Keamanan;HUM;group
Organisasi seperti apa who itu;HUM;group
apa nama organisasi kemanusiaan yang menyalurkan logistik ke palestina;HUM;group
apa nama organisasi kesehatan dunia;HUM;group
apa nama organisasi yang mengeluarkan fatwa islam di indonesia;HUM;group
partai apa yang memenangkan pemilu 2019;HUM;group
partai apa yang tidak lolos tahun ini;HUM;group
partai politik apa yang paling banyak duduk di parlemen;HUM;group
apa partai politik yang didirikan tahun 2000;HUM;group
perusahaan apa yang memproduksi prosesor komputer;HUM;group
perusahaan apa yang membuat mesin pesawat terbang;HUM;group
perusahaan apa yang fokus pada pengembangan software;HUM;group
apa perusahaan yang memproduksi bahan makanan;HUM;group
apa nama perusahaan yang memproduksi alat alat tulis;HUM;group
sebutkan salah satu perusahaan pembuat kamera;HUM;group
maskapai apa yang beroperasi pada penerbangan internasional;HUM;group
apa nama maskapai penerbangan domestik;HUM;group
apa nama kelompok nasyid adam;HUM;group
apa nama tim sepakbola wayne rooney;HUM;group
apa nama tim juan mata;HUM;group
apa nama tim michael jordan;HUM;group
apa perguruan tinggi terbaik di dunia;HUM;group
perguruan tinggi apa yang fokus pada sains komputer;HUM;group
apa nama kampus terbaik di indonesia;HUM;group
apa nama komunitas dakwah jalanan di bandung;HUM;group
apa nama komunitas pecinta hewan yang bermarkas di jogja;HUM;group
Kelompok apa yang di dalamnya termasuk Abbey Hoffman;HUM;group
Kelompok etnis apa yang memperkenalkan ide potlatch;HUM;group
Perusahaan apa yang merupakan pembuat kapal terbesar;HUM;group
Perusahaan apa yang mulai membuat pai;HUM;group
Tim bisbol Liga apa yang mempekerjakan 72 pemainnya;HUM;group
apa nama kelompok perkumpulan ibu obu di kompleks abc;HUM;group
apa nama kelompok geng motor yang meresahkan warga;HUM;group
tim apa yang menjuarai liga champion 5 kali;HUM;group
tim apa yang berhasil lolos liga eropa untuk pertama kalinya;HUM;group
di tim mana cristiano ronaldo bermain;HUM;group
apa nama kelompok mancing ayah kamu;HUM;group
kampus apa yang memiliki mahasiswa terbanyak;HUM;group
apa universitas terbaik di jepang;HUM;group
universitas apa yang terbaik di inggris;HUM;group
Apa lima kelompok Usenet paling populer;HUM;group
logo perusahaan apa yang ada W dalam lingkaran;HUM;group
apa nama tim iker casillas;HUM;group
apa nama yayasan yang menampung penerimaan zakat;HUM;group
apa nama yayasan yang memberi kursus bahasa secara gratis;HUM;group
partai apa yang menjadi oposisi;HUM;group
partai apa yang gagal lolos di pemilu tahun ini;HUM;group
komunitas apa yang menjadi tempat berkumpulnya pecinta motor;HUM;group
apa nama komunitas pecinta barang antik;HUM;group
apa nama komunitas yang mempertemukan pecinta mobil antik;HUM;group
milik siapa buku yang ada di meja itu;HUM;individual
Beri nama anak yang ditinggalkan di ambang pintu tersebut;HUM;individual
Beri nama Empat Penunggang Kuda di film itu;HUM;individual
Beri nama karakter On Stage yang wajahnya tidak pernah terlihat;HUM;individual
Beri nama pematung buta yang karyanya sangat mendunia;HUM;individual
Beri nama pemimpin mayoritas Senat A.S. dan Ketua Dewan;HUM;individual
Beri nama pencipta The Muppets;HUM;individual
Beri nama Ranger yang selalu mengejar Yogi Bear;HUM;individual
Beri nama skater sosok perempuan;HUM;individual
Beri nama warga negara swasta pertama yang terbang di angkasa;HUM;individual
Biografi aktris siapa yang berjudul Shelley Also known as Shirley;HUM;individual
Biografi siapa oleh Maurice Zolotow yang berjudul Shooting Star;HUM;individual
Dalam 8 tahun terakhir siapa yang memiliki MVP untuk NHL;HUM;individual
Dalam film Groundshog apa nama karakter yang dimainkan Andie;HUM;individual
Dengan siapa Bush membandingkan Saddam Hussein;HUM;individual
Di pangkuan Raja Inggris siapa P.T. Barnum's Tom Thumb duduk;HUM;individual
Karakter apa dalam Hillbillies yang diberi nama Daisy Moses;HUM;individual
Karakter apa yang menceritakan Treasure Island;HUM;individual
Karakter apa yang pertama kali diciptakan Tex di MGM;HUM;individual
Karakter cerdas apa yang bisa dimainkan Maurice di The Show;HUM;individual
Karakter fiksi apa yang dikenal sebagai Dane yang melankolis;HUM;individual
Karakter TV apa yang ADA seekor kuda bernama Thunder;HUM;individual
Kepada siapa Garrett Morgan menikah;HUM;individual
Kepada siapa Herb dan Tootsie tinggal bersebelahan;HUM;individual
Kepada siapa Richard Nixon mengajukan pengunduran dirinya;HUM;individual
Manakah dari aktor berikut ini yang bekerja di Theatre York;HUM;individual
Manakah dari berikut ini adalah Rhodes Scholar;HUM;individual
Manakah dari berikut ini yang tidak menerima Outstanding Award ;HUM;individual
Manakah dari bintang rock berikut ini yang memiliki ular piaraan;HUM;individual
Manakah dari ini adalah seorang penulis;HUM;individual
Manakah dari orang-orang berikut yang tidak terkait dengan Andy;HUM;individual
Manakah dari orang-orang terkenal berikut yang hobi melukis;HUM;individual
Manakah dari pria berikut yang menikah dengan Rita Hayworth;HUM;individual
Manakah dari selebriti berikut ini yang memulai karir sebagai joki;HUM;individual
Manakah dari selebriti berikut ini yang tidak lahir di Philadelphia;HUM;individual
Manakah dari wartawan TV berikut ini yang merupakan doktor;HUM;individual
Presiden A.S. yang mana yang dimakamkan di Washington;HUM;individual
Presiden Amerika Serikat mana yang merupakan Mason;HUM;individual
Presiden Bush membandingkan Saddam Hussein dengan siapa;HUM;individual
Presiden Jerman manakah yang menunjuk kanselir Hitler 1933;HUM;individual
Sebutkan dua anak muda yang diasuh Joko Santoso;HUM;individual
Sebutkan dua anak perempuan aktris John Mills;HUM;individual
Sebutkan dua anggota gumpalan dari Herculoid animasi;HUM;individual
Sebutkan karakter kartun anjing selain Huckleberry;HUM;individual
Sebutkan nama astronot Rusia pertama yang melakukan spacewalk;HUM;individual
Sebutkan nama orang yang menerobos layar di iklan bir Lite;HUM;individual
Sebutkan nama perancang sepatu yang menggunakan jutaan plastik;HUM;individual
Sebutkan pengacara Randy Craft;HUM;individual
Sebutkan pengacara untuk Randy Craft;HUM;individual
Siapa advokat yang juga memiliki bakat menghafal quran;HUM;individual
Siapa ahli bedah Texas yang melakukan transplantasi jantung pertama;HUM;individual
Siapa aktor bertingkat yang dikenal sebagai The Brazilian;HUM;individual
Siapa aktor dan aktris apa yang paling banyak membuat film;HUM;individual
Siapa aktor dan pilot Perang Dunia II memiliki uang 5 dollar;HUM;individual
Siapa aktor Inggris yang kehilangan suaranya setelah operasi;HUM;individual
Siapa aktor ksatria yang mengisahkan The World at War di TV;HUM;individual
Siapa aktor terkenal yang merupakan bapak bintang Alan Alda;HUM;individual
Siapa aktor yang belajar saksofon untuk peran dalam sebuah film;HUM;individual
Siapa aktor yang berpakaian unik di filmnya;HUM;individual
Siapa aktor yang datang untuk makan malam di Guess Coming;HUM;individual
Siapa aktor yang membintangi Blue Lagoon tahun 1980-an;HUM;individual
Siapa aktor yang memegang rekor penampilan terbanyak di sampul Life;HUM;individual
Siapa aktor yang memerankan Sam di film Casablanca;HUM;individual
Siapa aktris terkenal yang membuat penampilan pertamanya di panggung;HUM;individual
Siapa aktris utama dalam film Sleepless in Seattle;HUM;individual
Siapa aktris yang membintangi The Lion in Winter;HUM;individual
Siapa anggota Charlie yang menyanyikan vokal untuk Josie;HUM;individual
Siapa anggota kabinet Ronald yang menolak kebijakan federal;HUM;individual
Siapa anggota Kongres AS yang mengatakan halo kawan;HUM;individual
Siapa anggota Little Rascals yang memiliki on-again;HUM;individual
Siapa anggota pendiri band Pink Floyd;HUM;individual
Siapa arsitek Central Park;HUM;individual
Siapa Artis pendengaran keras yang melukis Bunga Matahari;HUM;individual
Siapa artis Spanyol yang melukis Penyaliban;HUM;individual
Siapa astronot Apollo 11 yang paling terkenal itu;HUM;individual
Siapa astronot Rusia pertama yang berjalan di luar angkasa;HUM;individual
Siapa atlet yang menghasilkan uang dari penjualan merchandise;HUM;individual
Siapa ayah Bonnie Blue Butler;HUM;individual
Siapa Ayah dan anak yang memenangkan Medali Kehormatan;HUM;individual
Siapa ayah Luke Skywalker;HUM;individual
Siapa ayah bambang;HUM;individual
Siapa bapak komputer;HUM;individual
Siapa bayi Sweet Pea di film kartun Popeye;HUM;individual
Siapa bintang bisbol yang menolak diberi hadiah;HUM;individual
Siapa bintang dari Leave It to Beaver;HUM;individual
Siapa bintang Dynasty yang melakukan debutnya di Century-Fox;HUM;individual
Siapa bintang film terkenal yang juga bertindak sebagai komisaris;HUM;individual
Siapa bintang gulat yang menjadi The Incredible Hulk;HUM;individual
Siapa bos Ben Casey;HUM;individual
Siapa calon presiden yang yang mendaftar setelah serangan di Harbor;HUM;individual
Siapa chief engineer dari Starship Enterprise;HUM;individual
Siapa desainer kostum dari Michael Jackson;HUM;individual
Siapa desainer Prancis yang mendeklarasikan kemerdekaan buruh;HUM;individual
Siapa detektif TV apa yang diperankan Craig Stevens;HUM;individual
Siapa detektif yang tinggal di Punchbowl dan memiliki 11 anak;HUM;individual
Siapa di balik nama minuman Harvey Wallbanger;HUM;individual
Siapa diktator yang memiliki julukan El Maximo;HUM;individual
Siapa direktur band Westview High di Funky Winkerbean;HUM;individual
Siapa direktur kelompok internasional yang disebut Genome Organization;HUM;individual
Siapa direktur urusan antar pemerintah untuk wilayah San Diego;HUM;individual
Siapa direktur yang menjadi komandan POW tahun 1953;HUM;individual
Siapa dokter Inggris yang lahir pada 18 Januari;HUM;individual
Siapa dokter pertama yang berhasil melakukan transplantasi hati;HUM;individual
Siapa duta besar Rusia untuk Hongaria selama pemberontakan 1956;HUM;individual
Siapa editor makanan paling terkenal di The New York Times;HUM;individual
Siapa empat pendiri terkenal United Artists;HUM;individual
Siapa gitaris tercepat;HUM;individual
Siapa gubernur pertama Virginia Barat;HUM;individual
Siapa gubernur wanita pertama di Wyoming;HUM;individual
Siapa hakim barroom menyebut dirinya Hukum Barat Pecos;HUM;individual
Siapa ibu dari pria yang tidak akan menjadi raja;HUM;individual
Siapa ibu Mia Farrow;HUM;individual
Siapa istri Charles Lindbergh;HUM;individual
Siapa istri Presiden Cleveland;HUM;individual
Siapa itu Pict;HUM;individual
Siapa jenderal Amerika bernasib buruk di Perang Dunia II;HUM;individual
Siapa jenderal Angkatan Udara AS yang memimpin serangan bom Tokyo;HUM;individual
Siapa jenderal AS yang diadili di pengadilan karena mengkritik;HUM;individual
Siapa jenderal Inggris yang menyerah kepada tentara kolonial;HUM;individual
Siapa jenderal Moor Shakespeare;HUM;individual
Siapa juara catur dunia Amerika pertama;HUM;individual
Siapa jurnalis yang dapat ditemukan di dan sekitar Walden Puddle;HUM;individual
Siapa Kaisar Romawi Suci pertama;HUM;individual
Siapa kapten kapal tanker itu;HUM;individual
Siapa kepala Bank Dunia;HUM;individual
Siapa kepala Columbia Pictures yang memalsukan nama aktor Cliff;HUM;individual
Siapa keponakan dan kemenakan Woody Woodpecker;HUM;individual
Siapa kerabat Leo yang menerjemahkan War and Peace;HUM;individual
Siapa ketua Komite Olimpiade Internasional di Olimpiade Musim Panas 1936;HUM;individual
Siapa ketua komite terpilih Senat yang mencapai Watergate;HUM;individual
Siapa Komedian yang merupakan The Perfect Fool;HUM;individual
Siapa komposer Rusia pembuka di Sharp yang terkenal;HUM;individual
Siapa musuh bebuyutan Snoopy;HUM;individual
Siapa nama aktor yang memerankan detektif di film Kindergarden;HUM;individual
Siapa nama aktris yang membintangi film itu;HUM;individual
Siapa nama artis Renaisssance Kyriakos yang dikenal dunia;HUM;individual
Siapa nama asli Alice Cooper;HUM;individual
Siapa nama asli Deddy Corbuzier;HUM;individual
Siapa nama asli penulis Laskar Pelangi;HUM;individual
Siapa nama belakang Dr. Ruth;HUM;individual
Siapa nama belakang Abner;HUM;individual
Siapa nama belakang Lucy dan Linus dari komik strip Peanut;HUM;individual
Siapa nama depan Goldfinger;HUM;individual
Siapa nama depan Rowan dan Martin;HUM;individual
